"","name","shares","coord.shares","account.avg.subscriberCount","account.platform","account.name","account.platformId","name.changed","account.handle","handle.changed","account.verified","pageAdminTopCountry.changed","account.pageAdminTopCountry","account.accountType","account.pageCreatedDate","account.pageDescription","account.pageDescription.changed","account.pageCategory","account.pageCategory.changed","degree","component","cluster","strength"
"2042","https://www.facebook.com/groups/394422438389438",12,7,3271,"Facebook","NEOČKOVANÍ","394422438389438",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,2,1,1,8
"2043","https://www.facebook.com/groups/663380880405440",36,28,1686,"Facebook","Noworossija/Neurussland - Info","663380880405440",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,1,17,22,27
"2044","https://www.facebook.com/groups/495999898438375",13,9,3686,"Facebook","L'ABÎME - Communauté","495999898438375",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,5,5,13,29
"2045","https://www.facebook.com/groups/121417834544714",14,8,4323,"Facebook","Politique belge ... / Belgisch politiek ... - STOP ! TROP IS TE VEEL !!!","121417834544714",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,4,5,13,22
"2046","https://www.facebook.com/groups/482706692127247",18,6,1425,"Facebook","MAGA AMERICANS!","482706692127247",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,1,9,25,6
"2047","https://www.facebook.com/groups/291759118584738",6,4,196,"Facebook","The People's Constitutional Army","291759118584738",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,1,9,25,4
"2048","https://www.facebook.com/groups/52886433478",5,5,889,"Facebook","San Antonio Tea Party","52886433478",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,4,9,25,17
"2049","https://www.facebook.com/1670401523078855",24,12,6471,"Facebook","Team Trump","1670401523078855",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,2,114,124,9
"2050","https://www.facebook.com/272550279840169",22,7,8284,"Facebook","Keep America great Trump and We,The People!","272550279840169",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,6,9,25,31
"2051","https://www.facebook.com/groups/333705780017886",4,4,27812,"Facebook","UEPB","333705780017886",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,1,9,15,4
"2052","https://www.facebook.com/groups/2022277774702044",40,29,1043,"Facebook","Інформаційна Чернігівщина","2022277774702044",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,30,14,19,385
"2053","https://www.facebook.com/groups/2288846471133370",40,30,2268,"Facebook","Інформаційне Запоріжжя","2288846471133370",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,29,14,19,417
"2054","https://www.facebook.com/groups/129829817066571",41,13,21732,"Facebook","УКРАЇНА","129829817066571",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,3,14,19,12
"2055","https://www.facebook.com/groups/850409858415042",20,9,2691,"Facebook","Przyjaciele Tygodnika Solidarność","850409858415042",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,10,3,3,47
"2056","https://www.facebook.com/groups/713083292424077",5,4,164538,"Facebook","LAMUKA/ kin.News","713083292424077",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,1,43,51,4
"2057","https://www.facebook.com/534750553603230",10,7,2862,"Facebook","gilet jaune haute garonne","534750553603230",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,1,5,13,4
"2058","https://www.facebook.com/groups/3506252302771096",12,5,13320,"Facebook","Александр Невзоров","3506252302771096",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,1,14,19,4
"2059","https://www.facebook.com/groups/334651774052138",6,4,6846,"Facebook","Yo Caviar con Aldo Mariátegui","334651774052138",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,1,20,26,4
"2060","https://www.facebook.com/groups/532667450512649",14,11,4999,"Facebook","Bolsonaro Presidente 38","532667450512649",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,6,8,8,43
"2061","https://www.facebook.com/groups/673526709399456",11,9,7397,"Facebook","POLÍTICA DE RIACHÃO","673526709399456",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,6,8,8,40
"2062","https://www.facebook.com/groups/166333367293091",11,7,1410,"Facebook","PRESIDENTE JAIR  BOLSONARO","166333367293091",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,5,8,8,28
"2063","https://www.facebook.com/groups/788202522058400",18,7,5454,"Facebook","Keine Zwangsimpfung","788202522058400",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,1,17,22,4
"2064","https://www.facebook.com/groups/1666426526989340",15,12,1775,"Facebook","Politika","1666426526989340",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,5,1,1,32
"2065","https://www.facebook.com/groups/1226570790733615",38,31,3037,"Facebook","Черкащина інформаційна","1226570790733615",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,32,14,19,424
"2066","https://www.facebook.com/groups/654408358069990",41,32,2880,"Facebook","Чернігівщина інформаційна","654408358069990",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,32,14,19,465
"2067","https://www.facebook.com/groups/1748110091917473",41,15,17543,"Facebook","ІНФО Новини Миколаївщини","1748110091917473",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,26,14,19,175
"2068","https://www.facebook.com/groups/1381999398528832",41,20,22128,"Facebook","Українські новини  -  24/7","1381999398528832",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,27,14,19,279
"2069","https://www.facebook.com/groups/1294196510601394",40,24,4211,"Facebook","Одещина інформаційна","1294196510601394",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,29,14,19,318
"2070","https://www.facebook.com/groups/1748088472145758",30,13,18637,"Facebook","Обувь.Одежда.Аксессуары.Украина","1748088472145758",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,26,14,19,193
"2071","https://www.facebook.com/groups/528797990901524",36,18,6032,"Facebook","ІНФО Новини Івано-Франківщини","528797990901524",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,26,14,19,228
"2072","https://www.facebook.com/groups/952813308166966",51,22,22888,"Facebook","Новини України","952813308166966",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,26,14,19,165
"2073","https://www.facebook.com/groups/421090261413963",16,6,24833,"Facebook","""ПОЛТАВА-ІНФО""","421090261413963",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,1,14,19,4
"2074","https://www.facebook.com/groups/741469516192833",8,4,1481,"Facebook","Direita Machado MG","741469516192833",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,1,8,8,4
"2075","https://www.facebook.com/groups/660698951410384",5,4,16833,"Facebook","Sikera Junior Fã Clube","660698951410384",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,19,8,8,76
